Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20140102,1,9,1551,0.01,0.5,12.5,2.4,2.0,42.0,1.0,2.0,4
20140102,0,9,3081,0.01,0.5,12.5,2.4,2.0,42.0,1.0,2.0,4
20140103,1,17,3152,0.0,0.0,12.0,2.4,2.0,27.0,1.0,2.0,5
20140103,0,17,2278,0.0,0.0,12.0,2.4,2.0,27.0,1.0,2.0,5
20140109,1,13,1868,0.04,1.1,15.5,8.8,2.0,18.0,1.0,2.0,4
20140109,0,13,1135,0.04,1.1,15.5,8.8,2.0,18.0,1.0,2.0,4
20140111,1,13,2241,0.08,0.9,16.5,10.9,2.0,50.0,1.0,2.0,6
20140111,0,13,1561,0.08,0.9,16.5,10.9,2.0,50.0,1.0,2.0,6
20140118,1,12,1947,0.0,0.0,15.5,3.4,1.0,38.0,1.0,2.0,6
20140118,0,12,2325,0.0,0.0,15.5,3.4,1.0,38.0,1.0,2.0,6
20140119,1,3,82,0.0,0.0,15.5,2.5,1.0,18.0,1.0,2.0,7
20140119,0,3,70,0.0,0.0,15.5,2.5,1.0,18.0,1.0,2.0,7
20140125,1,10,1309,0.0,0.0,,0.0,2.0,51.0,1.0,2.0,6
20140125,0,10,3092,0.0,0.0,,0.0,2.0,51.0,1.0,2.0,6
20140211,1,15,2049,0.17,1.3,35.5,22.8,2.0,19.0,1.0,2.0,2
20140211,0,15,908,0.17,1.3,35.5,22.8,2.0,19.0,1.0,2.0,2
20140216,1,23,436,0.0,0.0,32.0,21.1,1.0,26.0,1.0,2.0,7
20140216,0,23,183,0.0,0.0,32.0,21.1,1.0,26.0,1.0,2.0,7
20140226,1,1,68,0.0,0.0,30.0,3.1,2.0,19.0,1.0,2.0,3
20140226,0,1,99,0.0,0.0,30.0,3.1,2.0,19.0,1.0,2.0,3
20140227,1,14,1097,0.0,0.0,29.5,3.1,2.0,65.0,1.0,2.0,4
20140227,0,14,1391,0.0,0.0,29.5,3.1,2.0,65.0,1.0,2.0,4
20140423,1,10,1488,0.0,0.0,,1.5,2.0,26.0,1.0,2.0,3
20140423,0,10,475,0.0,0.0,,1.5,2.0,26.0,1.0,2.0,3
20140424,1,23,348,0.0,0.0,,0.0,1.0,24.0,1.0,2.0,4
20140424,0,23,9,0.0,0.0,,0.0,1.0,24.0,1.0,2.0,4
20140425,1,6,767,0.0,0.0,,11.999999999999991,1.0,58.0,1.0,2.0,5
20140425,0,6,208,0.0,0.0,,11.999999999999991,1.0,58.0,1.0,2.0,5
20140507,1,1,161,0.0,0.0,,1.8999999999999884,1.0,32.0,1.0,2.0,3
20140507,0,1,10,0.0,0.0,,1.8999999999999884,1.0,32.0,1.0,2.0,3
20140508,1,18,1459,0.05,0.5,,0.4999999999999884,1.0,47.0,1.0,2.0,4
20140508,0,18,352,0.05,0.5,,0.4999999999999884,1.0,47.0,1.0,2.0,4
20140509,1,6,686,0.09,0.9,,1.3999999999999884,2.0,23.0,1.0,2.0,5
20140509,0,6,166,0.09,0.9,,1.3999999999999884,2.0,23.0,1.0,2.0,5
20140523,1,3,164,0.0,0.0,,1.4,1.0,22.0,1.0,2.0,5
20140523,0,3,22,0.0,0.0,,1.4,1.0,22.0,1.0,2.0,5
20140524,1,11,2432,,,,,2.0,40.0,1.0,2.0,6
20140524,0,11,1477,,,,,2.0,40.0,1.0,2.0,6
20140524,1,18,1660,,,,,2.0,19.0,1.0,2.0,6
20140524,0,18,477,,,,,2.0,19.0,1.0,2.0,6
20140527,1,13,1929,0.0,0.0,,1.4,1.0,60.0,1.0,2.0,2
20140527,0,13,486,0.0,0.0,,1.4,1.0,60.0,1.0,2.0,2
20140528,1,21,664,0.0,0.0,,1.4,1.0,46.0,1.0,2.0,3
20140528,0,21,152,0.0,0.0,,1.4,1.0,46.0,1.0,2.0,3
20140609,1,21,434,,,,,1.0,35.0,1.0,2.0,1
20140609,0,21,469,,,,,1.0,35.0,1.0,2.0,1
20140620,1,19,1237,0.0,0.0,,0.0,1.0,64.0,1.0,2.0,5
20140620,0,19,2432,0.0,0.0,,0.0,1.0,64.0,1.0,2.0,5
20140621,1,10,1516,0.0,0.0,,0.0,2.0,32.0,1.0,2.0,6
20140621,0,10,2883,0.0,0.0,,0.0,2.0,32.0,1.0,2.0,6
