COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000120,20250101,P,101,112,107,84,123,176,347,554,771,1411,2332,3313,3081,3831,3718,3614,3338,2736,2571,2249,1833,732,310,217,01/01/2025
000120,20250101,S,144,122,100,84,176,366,1928,2582,3361,3226,2691,2663,2662,2456,2205,1867,1458,1047,752,587,518,334,328,140,01/01/2025
000120,20250102,P,116,99,87,77,92,177,399,719,1169,1556,1923,1943,2136,2431,3033,2937,3324,2852,2475,1438,1026,636,331,224,01/02/2025
000120,20250102,S,120,100,96,116,241,570,1763,3129,3253,2258,2084,2055,1797,1775,1709,1731,1622,1213,1088,843,570,425,320,224,01/02/2025
000120,20250103,P,136,90,102,104,162,310,501,843,1191,1652,1954,2996,2645,3219,3774,3912,3651,3502,3400,2754,1539,768,376,237,01/03/2025
000120,20250103,S,125,132,145,148,274,654,1907,3474,3446,3167,3048,2940,3049,2723,2254,2281,2221,1708,1421,1180,890,638,389,279,01/03/2025
000120,20250104,P,147,123,109,146,208,295,533,816,1186,1945,2582,3279,3471,3222,2995,3951,3832,3533,2719,1777,1489,796,404,201,01/04/2025
000120,20250104,S,175,120,111,141,191,1396,3387,3377,3352,2974,2277,2306,2072,1822,1835,1565,1177,987,695,527,510,381,245,162,01/04/2025
000120,20250105,P,129,106,86,83,60,196,323,534,1138,1845,2530,3219,3430,3312,3590,3586,2838,2554,2504,2251,1190,576,325,181,01/05/2025
000120,20250105,S,111,70,72,75,133,832,3275,2983,1540,1427,1639,1832,1656,1495,1517,1463,1150,981,927,618,451,326,254,132,01/05/2025
000120,20250106,P,101,68,65,84,141,248,597,1023,1249,1368,1856,2065,2134,2505,2802,2902,2959,2780,1451,720,434,132,315,135,01/06/2025
000120,20250106,S,100,79,90,105,260,457,1241,2817,2855,2535,1971,1700,1506,1284,1315,1273,1154,977,727,505,416,298,259,142,01/06/2025
000120,20250107,P,70,57,59,55,92,179,365,628,709,842,966,1038,1158,1282,1619,1733,1813,1416,896,559,350,277,171,109,01/07/2025
000120,20250107,S,101,115,85,91,140,278,497,1086,1597,1388,1001,1149,946,972,1082,1081,1032,862,609,475,397,311,232,211,01/07/2025
000120,20250108,P,63,64,69,64,85,211,441,758,951,1054,1146,1439,1512,1833,2459,2898,2795,1936,1037,573,333,173,103,255,01/08/2025
000120,20250108,S,114,97,77,97,225,389,961,2183,2623,2613,1929,1515,1414,1352,1281,1326,1298,1022,906,700,588,459,285,172,01/08/2025
000120,20250109,P,80,73,55,66,141,174,336,585,665,809,1031,1327,1287,1510,1868,2191,1933,2007,1204,703,494,256,182,142,01/09/2025
000120,20250109,S,143,105,98,88,217,355,633,1504,1988,2162,1413,1398,1220,1310,1407,1497,1549,1283,1124,860,726,588,361,221,01/09/2025
000120,20250110,P,94,67,69,75,91,211,401,646,897,1117,1455,1653,1836,2348,2764,2999,2929,2676,1660,933,628,482,269,154,01/10/2025
000120,20250110,S,162,123,106,103,224,411,1323,2978,3018,2609,2296,2011,1970,1963,2192,2632,3149,3087,2720,1983,1530,887,623,325,01/10/2025
000120,20250111,P,74,64,66,120,73,122,204,446,941,1258,1643,1715,1572,2379,3119,3188,2989,2860,2483,1713,1689,611,295,177,01/11/2025
000120,20250111,S,204,108,82,97,200,908,2087,3485,3199,2661,1851,1763,1669,1576,1555,1490,1274,987,810,580,510,358,298,180,01/11/2025
000120,20250112,P,119,85,55,80,93,146,282,552,1007,2034,3254,3641,3361,3879,4061,3825,3661,3347,3305,2981,1293,535,275,152,01/12/2025
000120,20250112,S,102,83,70,67,114,945,3370,3373,2345,1730,1797,1749,1474,1486,1517,1474,1229,781,692,498,416,288,247,136,01/12/2025
000120,20250113,P,84,60,68,60,105,248,612,970,1006,1170,1371,1522,1635,1870,1148,2455,2563,1677,960,599,460,293,224,136,01/13/2025
000120,20250113,S,117,84,71,101,242,473,1012,1975,2236,1894,1647,1372,1247,1201,1168,1223,1096,950,669,530,426,294,198,139,01/13/2025
000120,20250114,P,77,90,50,62,83,173,441,700,1017,1119,930,921,1113,1396,1695,2064,2252,1578,1110,627,428,276,175,149,01/14/2025
000120,20250114,S,140,87,79,99,192,429,825,1647,2035,1730,1375,1243,1178,1085,1094,1079,1072,882,703,579,371,354,297,143,01/14/2025
000120,20250115,P,98,72,62,63,108,187,434,734,850,977,1280,1363,1550,1925,2309,2792,2681,2054,1147,634,490,307,210,141,01/15/2025
000120,20250115,S,116,85,76,106,244,463,1016,2051,2610,2560,1882,1531,1371,1229,1251,1265,1249,1038,815,725,609,457,385,231,01/15/2025
000120,20250116,P,82,72,64,61,113,237,430,696,907,1023,1226,1282,1591,2127,1794,2238,2595,2614,1972,1138,663,409,263,158,01/16/2025
000120,20250116,S,138,115,97,92,223,520,1208,2560,1571,3005,2744,1961,1931,1587,1366,1966,1764,1683,1424,1302,1097,747,666,440,01/16/2025
000120,20250117,P,103,84,90,91,118,254,418,628,893,1228,1517,1694,2029,2707,3205,3294,3422,2487,1184,731,486,295,175,83,01/17/2025
000120,20250117,S,218,165,135,140,215,550,1705,3210,3308,3070,2407,2455,2231,2455,2678,3036,2957,2549,2109,1349,1010,789,539,431,01/17/2025
000120,20250118,P,74,101,78,51,76,100,174,295,404,629,984,1256,1323,1643,1647,1795,1727,1353,905,500,358,219,184,145,01/18/2025
000120,20250118,S,307,142,135,70,107,560,1757,1434,854,932,1233,1322,1431,1508,1464,1181,1240,779,550,415,408,277,231,150,01/18/2025
000120,20250119,P,74,57,68,57,70,118,223,368,633,1046,2165,2456,2475,2541,2518,2491,2492,1914,1135,786,641,376,234,145,01/19/2025
000120,20250119,S,108,67,55,44,72,267,1231,1333,1018,1193,1440,1519,1536,1356,1307,1181,995,760,534,453,381,228,194,130,01/19/2025
000120,20250120,P,96,69,78,105,119,242,453,852,850,1759,2296,2551,2980,3360,3050,2730,1983,1602,960,635,455,302,238,131,01/20/2025
000120,20250120,S,93,76,79,80,143,277,618,994,912,1044,1097,1254,1170,1178,1233,1114,1058,855,629,448,372,290,170,152,01/20/2025
000120,20250121,P,65,57,54,69,96,169,436,719,884,1136,1288,1237,1315,1459,1582,1847,1785,1499,877,589,402,293,167,141,01/21/2025
000120,20250121,S,119,90,84,71,198,352,682,1222,1597,1400,1494,1277,1149,1120,1077,1022,998,846,741,474,502,344,240,202,01/21/2025
000120,20250122,P,89,80,74,59,69,136,505,697,795,917,1046,1087,1165,1275,1534,2028,1698,1232,836,545,388,266,192,165,01/22/2025
000120,20250122,S,126,95,78,102,208,422,804,1445,1605,1540,1243,1139,1105,1148,1276,1220,1175,958,785,618,530,442,376,263,01/22/2025
000120,20250123,P,99,61,56,48,85,162,375,684,763,920,956,1275,1391,1615,1792,2033,1887,1779,1027,630,454,331,215,142,01/23/2025
000120,20250123,S,128,93,79,96,223,434,960,1863,2065,1793,1606,1590,1599,1531,1453,2019,1888,1757,1572,1281,1034,745,542,334,01/23/2025
000120,20250124,P,103,69,54,97,127,201,367,597,801,935,1193,1453,1747,2331,3219,3026,2939,1916,1553,928,378,497,398,215,01/24/2025
000120,20250124,S,211,116,123,107,222,459,1525,3056,3164,1939,2967,2772,2116,2429,2675,2934,3345,3141,2938,2350,1488,933,586,362,01/24/2025
000120,20250125,P,123,76,80,72,62,103,224,369,541,877,1369,1427,1646,2062,2696,3250,3463,3272,2568,1150,830,500,250,180,01/25/2025
000120,20250125,S,204,109,89,83,148,869,2253,2565,2657,2133,2250,2405,1574,1805,1663,1467,1462,1011,768,639,440,384,236,183,01/25/2025
000120,20250126,P,116,70,70,84,78,196,365,589,978,2032,3272,3729,3502,3903,3979,3986,3907,3609,3573,3418,2453,1893,328,167,01/26/2025
000120,20250126,S,102,89,70,54,65,912,2954,3179,3077,2220,2183,2141,1918,1733,1702,1414,1170,929,645,485,473,340,204,190,01/26/2025
000120,20250127,P,82,77,63,93,117,265,742,1168,1251,1244,1686,1667,1824,2215,2419,828,2288,3011,2220,765,493,310,186,127,01/27/2025
000120,20250127,S,121,79,82,116,216,465,897,2195,2492,2369,2023,1592,1511,1284,1302,1211,1101,864,669,522,407,335,229,143,01/27/2025
