Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-01-01,1518.0,1,SNOWY,39.740038,-104.682668,16,M
2015-01-02,1124.0,2,WET,39.743193,-105.530377,16,F
2015-01-02,1630.0,2,WET,39.739791,-105.159158,56,M
2015-01-03,739.0,2,WET,39.709008,-105.286147,22,M
2015-01-04,1155.0,1,DRY,39.742296,-105.156027,0,
2015-01-04,1445.0,2,DRY,39.73929,-104.650587,35,M
2015-01-05,840.0,1,DRY,39.7412,-105.495991,64,M
2015-01-05,1250.0,1,DRY,39.728005,-105.693419,27,M
2015-01-05,1616.0,1,WET,39.744354,-105.434957,0,
2015-01-05,1700.0,4,WET,39.744412,-105.488961,25,M
2015-01-05,1700.0,1,WET,39.743847,-105.48102,86,M
2015-01-07,715.0,2,WET,39.746176,-105.541341,38,M
2015-01-07,822.0,2,ICY,39.738131,-104.440155,34,M
2015-01-08,125.0,1,DRY,39.740012,-104.679615,17,F
2015-01-08,2109.0,2,ICY,39.738143,-104.445784,58,M
2015-01-08,2237.0,1,ICY,39.74409,-104.739064,50,F
2015-01-09,530.0,1,ICY,39.740108,-104.66558,26,M
2015-01-09,740.0,2,WET W/VIS ICY ROAD TREATMENT,39.744354,-105.434957,19,M
2015-01-10,644.0,2,DRY,39.744354,-105.434957,23,M
2015-01-10,644.0,2,DRY,39.744354,-105.434957,47,M
2015-01-10,650.0,2,DRY,39.740989,-104.733795,0,
2015-01-10,2020.0,1,DRY,39.744939,-105.468351,50,M
2015-01-12,806.0,2,DRY,39.742704,-104.736734,54,M
2015-01-14,345.0,1,ICY W/VIS ICY ROAD TREATMENT,39.715336,-105.393544,19,F
2015-01-14,1205.0,2,DRY,39.742564,-105.52659,24,F
2015-01-14,1430.0,1,WET,39.741309,-105.513813,26,M
2015-01-14,1715.0,2,DRY,39.724822,-105.179867,25,F
2015-01-14,1745.0,2,DRY,39.732758,-105.168011,0,
2015-01-17,530.0,1,ICY,39.711783,-106.701514,36,M
2015-01-18,406.0,1,DRY,39.716698,-105.696332,78,M
2015-01-18,700.0,2,DRY,39.733957,-105.428175,25,M
2015-01-18,730.0,2,DRY,39.727878,-105.423152,32,M
2015-01-18,1000.0,2,DRY,39.74347,-105.443465,65,M
