Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-01-02,HOUR8,39.71578,-105.38411,2.0,Clear,36.0,M
2022-01-02,HOUR12,39.74089,-105.50801,2.0,Clear,,
2022-01-05,HOUR19,39.71572,-105.38599,1.0,Snow,75.0,M
2022-01-06,HOUR8,39.72557,-105.17933,1.0,Cloudy,36.0,M
2022-01-06,HOUR10,39.7332,-104.36655,2.0,Clear,,
2022-01-06,HOUR16,39.72783,-105.86243,2.0,Blowing Snow,26.0,M
2022-01-06,HOUR18,39.73842,-104.43282,1.0,Clear,73.0,M
2022-01-07,HOUR14,39.75003,-105.66666,2.0,Clear,62.0,M
2022-01-08,HOUR15,39.71892,-104.2353,1.0,Rain,30.0,F
2022-01-09,HOUR12,39.72529,-105.17906,1.0,Clear,,
2022-01-10,HOUR12,39.73944,-104.60311,2.0,Clear,61.0,M
2022-01-11,HOUR5,39.70914,-105.28795,2.0,Clear,49.0,M
2022-01-12,HOUR5,39.72989,-104.28136,1.0,Clear,30.0,M
2022-01-12,HOUR13,39.74015,-105.15924,2.0,Clear,,
2022-01-13,HOUR5,39.73248,-105.16875,2.0,Clear,26.0,M
2022-01-13,HOUR22,39.74989,-105.66709,1.0,Clear,31.0,F
2022-01-14,HOUR7,39.7443,-105.446,2.0,Clear,75.0,M
2022-01-14,HOUR15,39.7148,-105.37753,1.0,Snow,21.0,F
2022-01-14,HOUR20,39.717893,-105.18956,2.0,Clear,24.0,M
2022-01-15,HOUR7,39.72311,-105.18303,2.0,Clear,40.0,M
2022-01-15,HOUR9,39.709744,-105.293458,2.0,Clear,49.0,M
2022-01-15,HOUR14,39.7251,-105.6946,2.0,Clear,28.0,F
2022-01-16,HOUR14,39.725314,-105.179109,2.0,Clear,23.0,F
2022-01-16,HOUR15,39.7233,-105.1821,3.0,Clear,16.0,F
2022-01-17,HOUR6,39.71652,-105.39722,3.0,Clear,18.0,F
2022-01-18,HOUR14,39.73579,-105.16475,2.0,Clear,,
2022-01-19,HOUR8,39.73818,-104.43148,1.0,Freezing Rain or Freezing Drizzle,22.0,M
2022-01-19,HOUR8,39.73497,-104.38986,2.0,Clear,48.0,M
2022-01-19,HOUR9,39.74495,-105.46886,1.0,Cloudy,22.0,M
2022-01-20,HOUR7,39.74506,-105.43646,1.0,Clear,21.0,M
2022-01-22,HOUR1,39.71048,-105.1956,1.0,Cloudy,48.0,M
2022-01-22,HOUR10,39.72663,-105.422,2.0,Clear,32.0,F
2022-01-23,HOUR6,39.72464,-105.41824,3.0,Clear,57.0,M
2022-01-23,HOUR13,39.72567,-105.182364,1.0,Clear,39.0,F
2022-01-24,HOUR11,39.73884,-104.47702,1.0,Clear,72.0,M
2022-01-26,HOUR10,39.73942,-104.55224,2.0,Clear,80.0,F
2022-01-26,HOUR11,39.7086,-105.2832,2.0,Clear,34.0,F
2022-01-27,HOUR9,39.71325,-105.3676,2.0,Snow,28.0,M
2022-01-29,HOUR6,39.73461,-105.4285,2.0,Clear,26.0,M
2022-01-29,HOUR15,39.72492,-105.179715,2.0,Clear,29.0,M
2022-01-29,HOUR19,39.73904,-104.52779,2.0,Cloudy,71.0,F
2022-02-01,HOUR0,39.74619,-105.46582,1.0,Clear,27.0,F
2022-02-01,HOUR23,39.74619,-105.46582,1.0,Snow,48.0,M
2022-02-02,HOUR9,39.71061,-106.71248,2.0,Cloudy,44.0,F
2022-02-02,HOUR10,39.73434,-104.32604,1.0,Clear,26.0,M
2022-02-02,HOUR10,39.734353,-104.328611,1.0,Snow,18.0,M
2022-02-02,HOUR17,39.74085,-105.49656,2.0,Snow,34.0,F
2022-02-02,HOUR17,39.73465,-104.3267,2.0,Snow,27.0,M
2022-02-03,HOUR8,39.71652,-104.22491,1.0,Clear,49.0,F
2022-02-03,HOUR10,39.74036,-105.15986,3.0,Clear,26.0,M
2022-02-03,HOUR16,39.7368,-104.40273,1.0,Clear,24.0,F
2022-02-04,HOUR7,39.748065,-104.745493,1.0,Clear,51.0,M
2022-02-04,HOUR8,39.74601,-105.43839,2.0,Clear,70.0,M
2022-02-04,HOUR14,39.72861,-105.42352,2.0,Clear,36.0,M
2022-02-05,HOUR16,39.72193,-105.18434,3.0,Clear,27.0,F
2022-02-05,HOUR16,39.71574,-105.19329,1.0,Clear,67.0,F
2022-02-07,HOUR0,39.71133,-106.70609,1.0,Clear,30.0,F
2022-02-07,HOUR7,39.73862,-104.64494,1.0,Clear,17.0,M
2022-02-08,HOUR5,39.73929,-104.54508,2.0,Clear,56.0,F
