SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,316.02,1/1/2014,230.0,INJ,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,39.715214,-104.220196,26,M,ALCOHOL/DRUGS
INTERSTATE,70,A,289.16,1/1/2014,809.0,INJ,ON,INTERSECTION RELATED,2,STRAIGHT ON-GRADE,SNOWY,DAYLIGHT,39.74021,-104.71604,17,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,293.03,1/1/2014,1027.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,SNOWY,DAYLIGHT,39.738658,-104.644386,29,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.6,1/1/2014,1245.0,INJ,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DAYLIGHT,39.714281,-105.311318,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,263.3,1/1/2014,1508.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,WET,DAYLIGHT,39.747885,-105.15042,42,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,310.5,1/1/2014,1600.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,ICY,DAYLIGHT,39.733901,-104.319316,44,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,311.8,1/1/2014,1645.0,INJ,ON,NON-INTERSECTION,6,STRAIGHT ON-LEVEL,ICY,DARK-UNLIGHTED,39.730355,-104.295918,31,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,292.5,1/1/2014,1805.0,INJ,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,ICY,DARK-UNLIGHTED,39.739866,-104.654323,20,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.9,1/2/2014,905.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.726733,-105.422002,42,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/3/2014,1722.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.73984,-105.159293,27,F,NO IMPAIRMENT SUSPECTED
