SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,291.5,1/1/2017,0.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.740031,-104.673448,24,M,ALCOHOL/DRUGS
INTERSTATE,70,A,227.96,1/1/2017,1700.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.716337,-105.696397,22,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,239.0,1/2/2017,930.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.743543,-105.532325,37,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.0,1/2/2017,1255.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.743855,-105.480957,79,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.0,1/2/2017,1834.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.741308,-105.513778,47,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.0,1/2/2017,2058.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,DRY W/VIS ICY ROAD TREATMENT,DARK-LIGHTED,39.746291,-105.460542,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,154.8,1/4/2017,1510.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,ICY,DAYLIGHT,39.711108,-106.69616,17,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.2,1/5/2017,600.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-GRADE,SNOWY,DARK-LIGHTED,39.745138,-105.440266,30,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.5,1/5/2017,840.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,SNOWY,DAYLIGHT,39.744354,-105.43495,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.1,1/5/2017,1650.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,ICY,DARK-LIGHTED,39.744145,-105.478912,23,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.2,1/5/2017,2000.0,PDO,OFF RIGHT,NON-INTERSECTION,2,CURVE ON-GRADE,ICY,DARK-UNLIGHTED,39.745138,-105.440266,21,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/6/2017,1035.0,PDO,ON,INTERSECTION RELATED,2,CURVE ON-GRADE,SNOWY,DAYLIGHT,39.739801,-105.159144,37,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.62,1/6/2017,1300.0,PDO,ON,RAMP,2,STRAIGHT ON-GRADE,DRY W/VIS ICY ROAD TREATMENT,DAYLIGHT,39.730754,-105.170541,19,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,253.8,1/8/2017,1020.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.70921,-105.289805,23,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,246.6,1/9/2017,25.0,PDO,ON,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.721164,-105.40971,64,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.0,1/11/2017,302.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,WET W/VIS ICY ROAD TREATMENT,DARK-LIGHTED,39.743474,-105.443466,31,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.6,1/11/2017,1430.0,PDO,ON,NON-INTERSECTION,1,CURVE ON-LEVEL,WET,DAYLIGHT,39.744949,-105.468351,53,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,227.6,1/12/2017,1651.0,INJ,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DAWN OR DUSK,39.710905,-105.697271,29,M,ALCOHOL INVOLVED
INTERSTATE,70,A,296.7,1/12/2017,2103.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.739554,-104.576008,27,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.17,1/13/2017,915.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DAYLIGHT,39.71647,-105.190759,39,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/13/2017,1817.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.739801,-105.159144,46,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.0,1/14/2017,945.0,PDO,OFF LEFT,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.743474,-105.443466,33,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,230.1,1/14/2017,1500.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.743725,-105.68159,28,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.4,1/14/2017,2300.0,INJ,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.713081,-105.314528,36,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.13,1/15/2017,1721.0,INJ,OFF LEFT,RAMP,1,CURVE ON-GRADE,WET,DARK-LIGHTED,39.716024,-105.191104,30,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.6,1/16/2017,505.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,SNOWY,DARK-LIGHTED,39.714161,-105.311255,28,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.0,1/16/2017,600.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,ICY,DARK-LIGHTED,39.743474,-105.443466,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/17/2017,1624.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,57,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,288.92,1/17/2017,1750.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,39.740125,-104.719842,42,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.5,1/17/2017,1918.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,ICY,DARK-UNLIGHTED,39.740321,-105.504953,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.63,1/18/2017,1525.0,PDO,ON,RAMP,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.73085,-105.170421,0,,NO IMPAIRMENT SUSPECTED
