System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,248.00,1/2/2022,08:00:00,39.71578,-105.38411,Rear-End,2.0,Clear,36.0,M
Interstate Highway,070A,240.20,1/2/2022,12:00:00,39.74089,-105.50801,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,247.88,1/5/2022,19:50:00,39.71572,-105.38599,Embankment,1.0,Snow,75.0,M
Interstate Highway,070A,261.10,1/6/2022,08:51:00,39.72557,-105.17933,Guardrail Face,1.0,Cloudy,36.0,M
Interstate Highway,070A,308.000,1/6/2022,10:00:00,39.7332,-104.36655,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,219.00,1/6/2022,16:35:00,39.72783,-105.86243,Rear-End,2.0,Blowing Snow,26.0,M
Interstate Highway,070A,304.400,1/6/2022,18:00:00,39.73842,-104.43282,Guardrail End,1.0,Clear,73.0,M
Interstate Highway,070A,231.000,1/7/2022,14:11:00,39.75003,-105.66666,Rear-End,2.0,Clear,62.0,M
Interstate Highway,070A,315.00,1/8/2022,15:41:00,39.71892,-104.2353,Overturning/Rollover,1.0,Rain,30.0,F
Interstate Highway,070A,261.00,1/9/2022,12:30:00,39.72529,-105.17906,Guardrail Face,1.0,Clear,,
Interstate Highway,070A,295.25,1/10/2022,12:43:00,39.73944,-104.60311,Broadside,2.0,Clear,61.0,M
Interstate Highway,070A,253.90,1/11/2022,05:20:00,39.70914,-105.28795,Rear-End,2.0,Clear,49.0,M
Interstate Highway,070A,312.00,1/12/2022,05:26:00,39.72989,-104.28136,Guardrail Face,1.0,Clear,30.0,M
Interstate Highway,070A,264.00,1/12/2022,13:00:00,39.74015,-105.15924,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,261.90,1/13/2022,05:45:00,39.73248,-105.16875,Rear-End,2.0,Clear,26.0,M
Interstate Highway,070A,231.000,1/13/2022,22:40:00,39.74989,-105.66709,Wild Animal,1.0,Clear,31.0,F
Interstate Highway,070A,243.90,1/14/2022,07:01:00,39.7443,-105.446,Other Non-Fixed Object Describe in Narrative),2.0,Clear,75.0,M
Interstate Highway,070A,248.50,1/14/2022,15:00:00,39.7148,-105.37753,Tree,1.0,Snow,21.0,F
Interstate Highway,070A,260.29,1/14/2022,20:25:00,39.717893,-105.18956,Rear-End,2.0,Clear,24.0,M
Interstate Highway,070A,260.791,1/15/2022,07:42:00,39.72311,-105.18303,Rear-End,2.0,Clear,40.0,M
Interstate Highway,070A,253.60,1/15/2022,09:25:00,39.709744,-105.293458,Sideswipe Same Direction,2.0,Clear,49.0,M
Interstate Highway,070A,228.10,1/15/2022,14:29:00,39.7251,-105.6946,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,261.03,1/16/2022,14:16:00,39.725314,-105.179109,Rear-End,2.0,Clear,23.0,F
Interstate Highway,070A,261.00,1/16/2022,15:41:00,39.7233,-105.1821,Rear-End,3.0,Clear,16.0,F
Interstate Highway,070A,245.00,1/17/2022,06:50:00,39.71652,-105.39722,Rear-End,3.0,Clear,18.0,F
Frontage Road,070A,291.222,1/17/2022,14:51:00,39.73964,-104.67832,Broadside,2.0,Clear,73.0,M
Interstate Highway,070A,262.57,1/18/2022,14:59:00,39.73579,-105.16475,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,304.00,1/19/2022,08:06:00,39.73818,-104.43148,Overturning/Rollover,1.0,Freezing Rain or Freezing Drizzle,22.0,M
Interstate Highway,070A,306.00,1/19/2022,08:50:00,39.73497,-104.38986,Sideswipe Same Direction,2.0,Clear,48.0,M
Interstate Highway,070A,242.50,1/19/2022,09:00:00,39.74495,-105.46886,Concrete Highway Barrier,1.0,Cloudy,22.0,M
Interstate Highway,070A,244.00,1/20/2022,07:01:00,39.74506,-105.43646,Concrete Highway Barrier,1.0,Clear,21.0,M
Interstate Highway,070A,259.646,1/22/2022,01:28:00,39.71048,-105.1956,Guardrail Face,1.0,Cloudy,48.0,M
Interstate Highway,070A,245.50,1/22/2022,10:29:00,39.72663,-105.422,Parked Motor Vehicle,2.0,Clear,32.0,F
Interstate Highway,070A,245.70,1/23/2022,06:30:00,39.72464,-105.41824,Rear-End,3.0,Clear,57.0,M
Interstate Highway,070A,261.818,1/23/2022,13:31:00,39.72567,-105.182364,Overturning/Rollover,1.0,Clear,39.0,F
Interstate Highway,070A,302.02,1/24/2022,11:15:00,39.73884,-104.47702,Fence,1.0,Clear,72.0,M
Interstate Highway,070A,298.000,1/26/2022,10:05:00,39.73942,-104.55224,Rear-End,2.0,Clear,80.0,F
Interstate Highway,070A,254.00,1/26/2022,11:22:00,39.7086,-105.2832,Rear-End,2.0,Clear,34.0,F
Interstate Highway,070A,249.00,1/27/2022,09:30:00,39.71325,-105.3676,Sideswipe Same Direction,2.0,Snow,28.0,M
Interstate Highway,070A,245.24,1/29/2022,06:20:00,39.73461,-105.4285,Rear-End,2.0,Clear,26.0,M
