COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20250101,P,93,82,76,76,108,164,344,515,808,1350,2155,2214,2461,2596,1849,1713,1596,1461,1438,1101,556,327,238,158,01/01/2025
000106,20250101,S,79,70,57,52,85,155,761,1886,1935,1991,1826,1755,1802,1713,1648,1532,1241,820,618,430,414,300,236,162,01/01/2025
000106,20250102,P,94,90,57,52,91,182,299,561,805,1121,1169,953,1130,1620,1760,1951,1917,1745,1268,779,660,361,244,151,01/02/2025
000106,20250102,S,95,82,50,83,115,240,526,698,718,727,1123,984,507,1101,1481,1662,1732,1775,1000,661,479,401,243,203,01/02/2025
000106,20250103,P,102,73,82,97,164,253,479,705,1149,1367,1871,2186,1976,2317,2593,1868,1607,2151,2067,1529,1011,454,277,168,01/03/2025
000106,20250103,S,122,94,113,114,156,339,882,2037,1954,1945,1922,2107,2051,2119,1822,1709,1646,1333,1045,915,710,498,353,203,01/03/2025
000106,20250104,P,128,85,95,128,171,283,540,824,1153,1754,2313,2482,2550,2676,1679,1507,1749,1828,1551,1235,694,453,261,122,01/04/2025
000106,20250104,S,150,94,94,85,80,415,1557,2089,2157,2016,1779,1520,1440,1333,1315,1294,983,733,544,399,372,337,191,153,01/04/2025
000106,20250105,P,93,95,62,46,85,179,369,671,1021,1883,1561,1883,1500,1695,1382,1680,875,1237,1719,1032,668,377,208,114,01/05/2025
000106,20250105,S,77,49,47,40,86,194,1294,1420,1520,1004,1031,1149,1231,1156,1143,978,1139,818,597,666,387,271,204,131,01/05/2025
000106,20250106,P,57,65,59,75,108,261,498,843,970,1165,1492,1440,1531,1794,1829,2011,1849,1181,661,460,210,161,207,79,01/06/2025
000106,20250106,S,79,70,69,73,130,297,564,1456,1789,1784,1421,1254,1135,946,1002,951,867,646,539,378,328,253,158,138,01/06/2025
000106,20250107,P,48,38,53,34,78,154,299,470,582,676,755,769,821,947,1069,1144,1151,872,571,378,270,199,117,79,01/07/2025
000106,20250107,S,106,82,78,69,86,134,247,584,913,991,866,734,747,701,828,894,771,563,453,352,275,270,193,171,01/07/2025
000106,20250108,P,61,46,60,44,75,162,358,525,709,818,910,973,1010,1286,1640,1672,1575,1086,610,360,140,57,219,60,01/08/2025
000106,20250108,S,108,80,63,79,96,212,447,1164,1541,1484,1357,1320,950,860,1115,994,972,729,619,520,454,366,268,173,01/08/2025
000106,20250109,P,77,53,41,86,93,129,285,426,512,746,914,919,951,1093,1270,1185,1716,933,814,403,285,162,158,109,01/09/2025
000106,20250109,S,97,95,77,73,120,210,340,696,1084,1226,1381,1122,962,1035,1075,1062,1067,1027,877,742,589,448,345,210,01/09/2025
000106,20250110,P,62,49,46,63,91,159,334,519,704,911,1195,1132,1297,1627,1968,2336,2058,1486,930,658,481,312,191,84,01/10/2025
000106,20250110,S,133,118,81,86,122,246,552,1584,1810,1888,1573,1402,1261,1486,1420,2051,1841,2331,2178,1658,665,1493,550,313,01/10/2025
