Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2021-01-03,22,1,15,0,0
2021-01-04,15,2,52,0,0
2021-01-04,20,1,17,0,0
2021-01-05,22,1,24,0,1
2021-01-06,8,2,27,0,0
2021-01-07,20,1,39,0,0
2021-01-08,5,2,32,0,0
2021-01-08,13,1,52,0,0
2021-01-08,16,2,83,0,1
2021-01-09,11,1,29,5,0
2021-01-09,19,1,28,5,0
2021-01-10,9,2,26,0,1
2021-01-10,12,2,31,0,1
2021-01-10,19,2,0,0,0
2021-01-13,17,3,28,0,0
2021-01-15,1,1,42,2,0
2021-01-15,15,2,65,0,1
2021-01-16,20,1,24,0,0
2021-01-17,13,2,52,0,0
2021-01-17,14,2,21,0,0
2021-01-17,14,2,21,0,0
2021-01-18,12,2,19,0,1
2021-01-18,19,2,28,0,0
2021-01-18,22,1,37,5,0
2021-01-20,8,2,22,0,0
2021-01-21,6,2,60,0,0
2021-01-21,15,2,32,0,0
2021-01-22,16,2,27,0,0
2021-01-24,6,2,44,0,0
2021-01-24,11,2,57,0,1
2021-01-26,2,2,60,5,1
2021-01-26,12,1,63,5,0
2021-01-26,12,2,36,5,0
2021-01-26,13,1,17,5,1
2021-01-26,22,1,69,5,0
2021-01-28,8,2,37,0,0
2021-01-29,9,3,21,0,1
2021-01-31,15,2,24,0,0
2021-02-01,8,1,27,0,1
2021-02-01,21,2,39,0,0
2021-02-02,2,1,29,0,0
2021-02-02,10,2,56,0,0
2021-02-02,14,1,58,0,1
2021-02-04,7,2,31,0,0
2021-02-06,3,2,18,0,0
2021-02-06,6,2,30,0,0
2021-02-08,7,2,32,0,1
2021-02-11,7,1,48,0,1
2021-02-11,14,1,32,0,0
2021-02-11,18,1,16,0,1
2021-02-12,9,1,29,5,1
2021-02-12,20,1,23,0,0
2021-02-13,11,1,36,0,1
2021-02-13,21,2,41,5,0
2021-02-14,10,1,30,5,1
2021-02-14,14,2,42,0,0
2021-02-15,10,2,24,0,1
2021-02-15,10,3,24,0,1
2021-02-15,12,3,18,0,0
2021-02-15,14,2,17,0,0
2021-02-15,17,1,27,0,1
2021-02-17,1,1,39,0,0
2021-02-17,7,2,35,0,0
2021-02-17,16,2,50,5,0
2021-02-17,16,2,47,5,1
2021-02-18,10,2,24,0,0
2021-02-18,15,2,53,0,1
2021-02-18,18,1,37,0,0
2021-02-19,17,2,35,0,0
2021-02-19,20,2,27,0,0
2021-02-19,23,1,38,0,0
2021-02-20,9,1,36,0,0
2021-02-20,19,2,28,5,0
2021-02-21,19,1,21,0,1
2021-02-23,0,2,37,0,1
2021-02-23,5,2,29,0,0
2021-02-23,9,2,24,0,0
2021-02-24,11,1,39,0,0
2021-02-24,22,2,45,5,0
2021-02-25,9,2,23,0,0
2021-02-25,18,2,28,0,1
2021-02-25,18,2,47,0,1
2021-02-25,18,1,23,0,0
2021-02-25,20,2,28,3,0
2021-02-27,6,2,48,0,0
2021-02-27,16,2,41,0,0
2021-02-27,16,2,56,0,0
2021-02-28,2,1,31,0,0
2021-03-01,12,1,29,0,0
2021-03-02,15,1,32,0,0
2021-03-04,8,2,46,0,0
2021-03-04,12,1,44,5,0
2021-03-04,16,1,57,5,1
2021-03-05,2,2,20,0,0
2021-03-05,5,1,35,0,1
2021-03-06,6,2,19,0,1
2021-03-06,22,2,46,0,0
2021-03-07,0,1,27,0,0
2021-03-07,1,1,25,0,0
2021-03-07,17,2,46,0,1
2021-03-08,18,2,40,0,0
2021-03-10,5,2,35,5,0
2021-03-10,7,2,63,5,0
2021-03-10,7,2,31,5,0
2021-03-11,4,1,62,0,0
2021-03-11,14,1,51,0,0
2021-03-11,14,2,27,0,0
2021-03-12,6,1,38,5,1
2021-03-12,12,1,51,5,0
2021-03-14,11,2,25,5,0
2021-03-15,9,1,45,0,0
2021-03-15,10,2,41,0,0
2021-03-15,15,3,32,0,0
2021-03-15,18,2,20,0,0
2021-03-18,0,2,41,0,1
2021-03-18,6,2,37,0,0
2021-03-18,8,2,28,0,1
2021-03-18,8,4,18,0,1
2021-03-18,19,1,55,0,0
2021-03-19,23,1,29,0,1
2021-03-20,2,1,44,0,0
2021-03-20,14,1,49,0,0
2021-03-20,17,2,38,0,0
2021-03-21,18,2,45,5,1
2021-03-21,18,2,22,0,0
2021-03-21,19,1,19,6,0
2021-03-21,21,1,34,5,0
2021-03-21,21,3,44,7,0
2021-03-22,6,1,48,5,0
2021-03-23,12,1,54,6,0
2021-03-23,18,1,32,5,0
2021-03-23,18,1,18,5,0
2021-03-23,18,2,17,5,0
2021-03-24,5,2,25,0,1
2021-03-24,7,0,45,0,0
2021-03-28,18,2,66,0,0
2021-03-30,9,3,21,5,1
2021-03-31,0,1,24,5,1
2021-04-01,14,1,17,0,1
2021-04-02,14,3,38,0,0
2021-04-02,17,2,27,0,0
2021-04-04,8,2,20,0,0
2021-04-04,10,2,58,0,0
2021-04-05,15,1,40,0,0
2021-04-05,17,3,70,0,0
2021-04-06,2,1,55,0,0
2021-04-06,14,3,31,0,0
2021-04-08,0,1,28,0,1
2021-04-09,11,2,19,0,1
2021-04-10,16,2,74,0,0
2021-04-12,11,2,60,0,0
2021-04-12,22,1,50,0,0
2021-04-13,0,1,19,5,1
2021-04-13,3,1,27,5,0
2021-04-15,17,2,27,5,1
2021-04-15,17,2,66,5,0
2021-04-15,18,1,22,5,0
2021-04-16,7,1,24,5,0
2021-04-16,11,1,31,5,0
2021-04-16,23,1,27,5,0
2021-04-17,0,1,27,5,0
2021-04-17,7,2,67,5,1
2021-04-19,17,1,56,5,0
2021-04-19,17,2,29,4,0
2021-04-19,18,0,23,5,0
2021-04-19,18,2,41,5,1
2021-04-20,0,2,48,5,0
2021-04-20,5,1,22,0,0
2021-04-20,8,1,26,0,1
2021-04-20,10,2,45,0,0
2021-04-20,12,1,29,0,0
2021-04-20,15,1,27,0,0
2021-04-21,12,2,38,0,1
2021-04-21,16,2,31,5,1
2021-04-21,21,1,25,0,1
2021-04-22,12,1,52,0,0
2021-04-23,7,1,33,0,0
2021-04-23,15,2,63,0,0
2021-04-24,15,2,52,0,1
2021-04-25,21,1,43,0,0
2021-04-27,16,1,67,0,1
2021-04-27,18,1,49,3,1
2021-04-28,6,1,59,5,1
2021-04-29,20,1,22,0,0
2021-05-01,2,1,22,0,0
2021-05-01,12,2,60,0,1
2021-05-02,19,2,19,3,0
2021-05-03,9,1,40,5,1
2021-05-04,3,1,51,0,0
2021-05-08,11,2,49,0,0
2021-05-09,7,1,30,0,0
2021-05-09,7,2,60,0,0
2021-05-10,19,1,38,5,0
2021-05-21,12,2,46,0,0
2021-05-21,15,2,19,0,1
2021-05-21,21,2,39,0,0
2021-05-22,18,1,1,3,0
2021-05-28,13,2,61,0,0
2021-05-29,2,2,23,0,0
2021-05-30,2,2,19,3,0
2021-06-01,17,2,53,0,0
2021-06-02,19,2,26,0,0
2021-06-03,2,1,36,0,0
2021-06-06,17,2,33,0,0
2021-06-07,0,1,41,0,0
2021-06-07,0,1,26,0,0
2021-06-07,0,1,23,0,1
2021-06-09,11,2,61,0,0
2021-06-09,19,1,29,0,0
2021-06-11,23,2,30,0,0
2021-06-12,8,2,69,0,1
2021-06-13,3,1,21,0,1
2021-06-14,7,2,19,0,0
2021-06-14,20,1,18,0,1
2021-06-15,15,1,45,0,0
2021-06-17,6,1,45,0,1
2021-06-17,7,2,30,0,0
2021-06-18,9,2,18,0,1
2021-06-22,7,2,22,0,1
2021-06-25,21,1,25,3,0
2021-06-27,0,2,18,0,0
2021-06-29,11,2,36,0,0
2021-06-29,18,1,22,0,0
2021-07-01,15,1,29,3,0
2021-07-01,19,1,40,0,1
2021-07-01,21,2,30,0,0
2021-07-02,5,1,32,0,0
2021-07-02,11,1,73,0,0
2021-07-03,7,1,61,0,0
2021-07-03,16,3,78,3,1
2021-07-04,2,1,34,0,1
2021-07-05,5,1,37,0,0
2021-07-05,15,2,21,3,0
2021-07-05,19,1,30,3,0
2021-07-06,18,2,39,0,0
2021-07-06,18,2,31,0,0
2021-07-07,8,2,41,0,0
2021-07-07,13,1,70,0,1
2021-07-07,23,1,60,0,0
2021-07-08,9,2,36,0,0
2021-07-08,23,1,45,0,0
2021-07-09,14,2,22,0,1
2021-07-10,3,1,48,0,0
2021-07-10,13,2,49,0,0
2021-07-11,22,1,21,0,1
2021-07-12,0,1,33,0,1
2021-07-12,10,2,33,0,0
2021-07-13,6,2,23,0,0
2021-07-16,15,3,21,0,0
2021-07-17,1,1,-9,0,0
2021-07-17,13,2,37,0,1
2021-07-17,19,1,26,0,0
2021-07-18,13,2,28,0,1
