"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USW00003038","2017-10-25",,,"0.00","0.0","0.0"
"USW00003038","2017-10-26",,,"0.00","0.0","0.0"
"USW00003038","2017-10-27",,,"0.00","0.0",
"USW00003038","2017-10-28",,,"0.00","0.0","0.0"
"USW00003038","2017-10-30",,,"0.00","0.0","0.0"
"USW00003038","2017-11-01",,,"0.00","0.0","0.0"
"USW00003038","2018-02-01",,,,,
"USW00003038","2018-02-02",,,,,
"USW00003038","2018-02-03",,,,,
"USW00003038","2018-02-04",,,,,
"USW00003038","2018-02-05",,,,,
"USW00003038","2018-02-06",,,,,
"USW00003038","2018-02-07",,,,,
"USW00003038","2018-02-08",,,,,
"USW00003038","2018-02-09",,,,,
"USW00003038","2018-02-10",,,,,
"USW00003038","2018-02-11",,,,,
"USW00003038","2018-02-12",,,,,
"USW00003038","2018-02-13",,,,,
"USW00003038","2018-02-14",,,"0.01",,"0.0"
"USW00003038","2018-02-15",,,"0.00","0.0","0.0"
"USW00003038","2018-02-16",,,"0.00","0.0","0.0"
"USW00003038","2018-02-17",,,"0.00","0.0","0.0"
"USW00003038","2018-02-18",,,"0.00","0.0","0.0"
"USW00003038","2018-02-19",,,"0.00","0.0","0.0"
"USW00003038","2018-02-20",,,"0.00","0.0","0.0"
"USW00003038","2018-02-21",,,"0.00","0.0","0.0"
"USW00003038","2018-02-22",,,"0.00","0.0","0.0"
"USW00003038","2018-02-23",,,"0.00","0.0","0.0"
"USW00003038","2018-02-24",,,"0.00","0.0","0.0"
"USW00003038","2018-02-25",,,"0.00","0.0","0.0"
"USW00003038","2018-02-26",,,"0.00","0.0","0.0"
"USW00003038","2018-02-27",,,"0.00","0.0","0.0"
"USW00003038","2018-02-28",,,"0.00","0.0","0.0"
"USW00003038","2018-03-01",,,,,
"USW00003038","2018-03-02",,,,,
"USW00003038","2018-03-03",,,,,
"USW00003038","2018-03-04",,,,,
"USW00003038","2018-03-05",,,,,
"USW00003038","2018-03-06",,,,,
"USW00003038","2018-03-07",,,,,
"USW00003038","2018-03-08",,,,,
"USW00003038","2018-03-09",,,,,
"USW00003038","2018-03-10",,,,,
"USW00003038","2018-03-11",,,,,
"USW00003038","2018-03-12",,,,,
"USW00003038","2018-03-13",,,,,
"USW00003038","2018-03-14",,,,,
"USW00003038","2018-03-15",,,,,
"USW00003038","2018-03-16",,,,,
"USW00003038","2018-03-17",,,,,
"USW00003038","2018-03-18",,,,,
"USW00003038","2018-03-19",,,"0.00","0.0","0.0"
"USW00003038","2018-03-20",,,"0.00","0.0","0.0"
"USW00003038","2018-03-21",,,"0.01",,"0.0"
"USW00003038","2018-03-22",,,"0.01",,"0.0"
"USW00003038","2018-03-23",,,"0.02",,"0.0"
"USW00003038","2018-03-24",,,"0.01",,"0.0"
"USW00003038","2018-03-25",,,"0.00","0.0","0.0"
"USW00003038","2018-03-26",,,"0.00","0.0",
"USW00003038","2018-03-27",,,"0.01",,"0.0"
"USW00003038","2018-03-28",,,"0.00","0.0","0.0"
"USW00003038","2018-03-29",,,"0.00","0.0","0.0"
"USW00003038","2018-03-30",,,"0.01",,"0.0"
"USW00003038","2018-03-31",,,"0.00","0.0","0.0"
"USW00003038","2018-04-01",,,,,
"USW00003038","2018-04-02",,,,,
"USW00003038","2018-04-03",,,,,
"USW00003038","2018-04-04",,,,,
"USW00003038","2018-04-05",,,,,
"USW00003038","2018-04-06",,,,,
"USW00003038","2018-04-07",,,,,
"USW00003038","2018-04-08",,,,,
"USW00003038","2018-04-09",,,,,
"USW00003038","2018-04-10",,,,,
"USW00003038","2018-04-11",,,,,
"USW00003038","2018-04-12",,,,,
"USW00003038","2018-04-13",,,,,
"USW00003038","2018-04-14",,,,,
"USW00003038","2018-04-15",,,,,
"USW00003038","2018-04-16",,,,,
"USW00003038","2018-04-27",,,,,
"USW00003038","2018-04-28",,,,,
"USW00003038","2018-04-29",,,,,
"USW00003038","2018-04-30",,,,,
"USW00003038","2018-05-01",,,,,
"USW00003038","2018-05-02",,,,,
"USW00003038","2018-05-03",,,,,
"USW00003038","2018-05-04",,,,,
"USW00003038","2018-05-05",,,,,
"USW00003038","2018-05-06",,,,,
"USW00003038","2018-05-07",,,,,
"USW00003038","2018-05-08",,,,,
"USW00003038","2018-05-09",,,,,
"USW00003038","2018-05-10",,,,,
"USW00003038","2018-05-11",,,,,
"USW00003038","2018-05-12",,,,,
"USW00003038","2018-05-13",,,,,
"USW00003038","2018-05-14",,,,,
"USW00003038","2018-05-15",,,,,
"USW00003038","2018-05-16",,,,,
"USW00003038","2018-05-17",,,,,
"USW00003038","2018-05-18",,,,,
"USW00003038","2018-05-19",,,,,
"USW00003038","2018-05-20",,,,,
"USW00003038","2018-05-21",,,,,
"USW00003038","2018-05-22",,,,,
"USW00003038","2018-05-23",,,,,
"USW00003038","2018-05-24",,,,,
"USW00003038","2018-05-25",,,,,
"USW00003038","2018-05-26",,,,,
"USW00003038","2018-05-27",,,,,
"USW00003038","2018-05-28",,,,,
"USW00003038","2018-05-29",,,,,
"USW00003038","2018-05-30",,,,,
"USW00003038","2018-05-31",,,,,
"USW00003038","2018-06-01",,,,,
"USW00003038","2018-06-02",,,,,
"USW00003038","2018-06-03",,,,,
"USW00003038","2018-06-04",,,,,
"USW00003038","2018-06-05",,,,,
"USW00003038","2018-06-06",,,,,
