Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2017-01-01,HOUR0,2,DRY,39.740031,-104.673448,24,M
2017-01-01,HOUR17,2,DRY,39.716337,-105.696397,22,F
2017-01-02,HOUR9,2,DRY,39.743543,-105.532325,37,F
2017-01-02,HOUR12,1,DRY,39.743855,-105.480957,79,M
2017-01-02,HOUR18,2,DRY,39.741308,-105.513778,47,M
2017-01-02,HOUR20,2,DRY W/VIS ICY ROAD TREATMENT,39.746291,-105.460542,18,M
2017-01-04,HOUR15,1,ICY,39.711108,-106.69616,17,M
2017-01-05,HOUR6,1,SNOWY,39.745138,-105.440266,30,M
2017-01-05,HOUR8,2,SNOWY,39.744354,-105.43495,35,M
2017-01-05,HOUR16,1,ICY,39.744145,-105.478912,23,F
2017-01-05,HOUR20,2,ICY,39.745138,-105.440266,21,M
2017-01-06,HOUR10,2,SNOWY,39.739801,-105.159144,37,M
2017-01-06,HOUR13,2,DRY W/VIS ICY ROAD TREATMENT,39.730754,-105.170541,19,F
2017-01-08,HOUR10,2,DRY,39.70921,-105.289805,23,F
2017-01-09,HOUR0,1,DRY,39.721164,-105.40971,64,M
2017-01-11,HOUR3,1,WET W/VIS ICY ROAD TREATMENT,39.743474,-105.443466,31,M
2017-01-11,HOUR14,1,WET,39.744949,-105.468351,53,M
2017-01-12,HOUR16,1,DRY,39.710905,-105.697271,29,M
2017-01-12,HOUR21,1,DRY,39.739554,-104.576008,27,M
2017-01-13,HOUR9,1,DRY,39.71647,-105.190759,39,F
2017-01-13,HOUR18,2,DRY,39.739801,-105.159144,46,M
2017-01-14,HOUR9,2,DRY,39.743474,-105.443466,33,M
2017-01-14,HOUR15,2,DRY,39.743725,-105.68159,28,M
2017-01-14,HOUR23,1,DRY,39.713081,-105.314528,36,F
2017-01-15,HOUR17,1,WET,39.716024,-105.191104,30,M
2017-01-16,HOUR5,1,SNOWY,39.714161,-105.311255,28,M
2017-01-16,HOUR6,2,ICY,39.743474,-105.443466,0,
2017-01-17,HOUR16,3,DRY,39.739801,-105.159144,57,M
2017-01-17,HOUR17,2,DRY,39.740125,-104.719842,42,F
2017-01-17,HOUR19,2,ICY,39.740321,-105.504953,25,M
2017-01-18,HOUR15,2,DRY,39.73085,-105.170421,0,
2017-01-18,HOUR17,3,DRY,39.74281,-105.155386,56,M
2017-01-19,HOUR10,2,DRY,39.741215,-105.495956,0,
2017-01-19,HOUR17,2,DRY,39.740089,-105.158781,45,M
2017-01-21,HOUR5,1,DRY,39.745522,-104.741452,28,M
2017-01-21,HOUR10,2,DRY,39.744411,-105.488957,32,M
2017-01-24,HOUR16,3,DRY,39.737695,-105.431191,30,M
2017-01-24,HOUR19,1,WET,39.745703,-105.458821,28,M
2017-01-27,HOUR17,2,DRY,39.723014,-105.182653,36,M
2017-01-27,HOUR18,1,DRY,39.716247,-105.190931,35,M
2017-01-28,HOUR14,2,DRY,39.741475,-105.522983,25,M
2017-01-29,HOUR13,1,DRY,39.73542,-105.164663,18,M
2017-02-01,HOUR0,2,DRY,39.708504,-105.282568,52,M
2017-02-04,HOUR7,3,DRY,39.709078,-105.319309,17,M
2017-02-05,HOUR7,3,DRY,39.735205,-105.429167,44,M
2017-02-08,HOUR16,2,DRY,39.740291,-105.15853,25,M
2017-02-09,HOUR11,2,DRY,39.743474,-105.443466,27,M
2017-02-09,HOUR12,1,DRY,39.730831,-105.692334,79,F
2017-02-09,HOUR23,1,DRY,39.721981,-105.695512,54,M
2017-02-10,HOUR1,1,DRY,39.72674,-105.693887,25,M
2017-02-10,HOUR7,1,DRY,39.734252,-105.689652,63,M
2017-02-10,HOUR19,2,DRY,39.744354,-105.43495,31,M
2017-02-11,HOUR14,2,DRY,39.730575,-105.692431,29,M
2017-02-11,HOUR16,1,DRY,39.722168,-105.183956,19,F
2017-02-12,HOUR18,1,DRY,39.73988,-104.601713,48,M
2017-02-14,HOUR17,2,DRY,39.739801,-105.159144,56,M
2017-02-15,HOUR16,2,DRY,39.746682,-105.437031,51,M
2017-02-16,HOUR4,2,DRY,39.73946,-104.568664,39,F
2017-02-17,HOUR11,1,DRY,39.740096,-104.700694,53,M
2017-02-17,HOUR17,1,DRY,39.739801,-105.159144,23,M
2017-02-18,HOUR6,2,DRY,39.737695,-105.431191,29,M
2017-02-18,HOUR6,3,DRY,39.737695,-105.431191,29,F
2017-02-18,HOUR7,3,DRY,39.744411,-105.488957,25,M
2017-02-19,HOUR13,1,DRY,39.740767,-104.724397,25,M
2017-02-20,HOUR7,3,DRY,39.743855,-105.480957,49,M
2017-02-23,HOUR7,1,ICY,39.70834,-106.692034,38,M
2017-02-23,HOUR8,1,ICY,39.738236,-105.431542,27,M
2017-02-23,HOUR10,2,ICY,39.746291,-105.460542,41,F
2017-02-23,HOUR12,3,SNOWY,39.712496,-105.304125,36,M
2017-02-23,HOUR12,2,SNOWY,39.712265,-105.303236,21,F
2017-02-23,HOUR12,2,SNOWY,39.711572,-105.300568,67,M
2017-02-23,HOUR13,2,ICY,39.739637,-105.432274,26,M
2017-02-23,HOUR13,1,SNOWY,39.746602,-105.462679,23,M
2017-02-23,HOUR14,1,SNOWY,39.744411,-105.488957,55,F
2017-02-23,HOUR17,1,ICY,39.740881,-104.733566,40,F
2017-02-24,HOUR6,2,ICY,39.708499,-105.196871,34,M
2017-02-24,HOUR8,2,SNOWY,39.713616,-105.313718,35,M
2017-02-24,HOUR12,2,WET,39.723484,-105.181929,58,M
2017-02-26,HOUR2,1,DRY,39.7089,-105.284318,31,F
2017-02-26,HOUR8,1,DRY,39.738594,-104.523728,59,M
2017-02-27,HOUR8,2,DRY,39.739801,-105.159144,59,F
2017-02-28,HOUR0,1,ICY,39.715408,-105.696539,25,M
2017-03-01,HOUR10,2,ICY W/VIS ICY ROAD TREATMENT,39.736957,-104.403752,39,F
2017-03-01,HOUR12,2,DRY,39.714575,-105.192224,23,F
2017-03-02,HOUR20,1,DRY,39.709013,-105.286143,49,M
2017-03-03,HOUR4,1,WET,39.745222,-105.47048,26,F
2017-03-03,HOUR7,1,DRY W/VIS ICY ROAD TREATMENT,39.746631,-105.462909,28,F
2017-03-05,HOUR13,1,DRY,39.739554,-104.576008,18,M
2017-03-07,HOUR0,1,DRY,39.745282,-105.152453,26,M
2017-03-09,HOUR6,2,DRY,39.708918,-105.284498,37,M
2017-03-09,HOUR11,2,DRY,39.725078,-105.694518,40,M
2017-03-10,HOUR13,1,DRY,39.712339,-104.212729,22,M
2017-03-10,HOUR20,1,DRY,39.716024,-105.191104,33,M
2017-03-11,HOUR2,1,DRY,39.710399,-106.694593,23,M
2017-03-11,HOUR13,1,DRY,39.738792,-104.533139,20,M
2017-03-14,HOUR4,1,DRY,39.733103,-105.690775,47,M
2017-03-14,HOUR5,2,DRY,39.738094,-104.425102,25,M
2017-03-15,HOUR22,1,DRY,39.740024,-104.626372,34,F
2017-03-17,HOUR0,1,DRY,39.743543,-105.532325,35,M
2017-03-17,HOUR14,2,DRY,39.739801,-105.159144,38,F
2017-03-18,HOUR15,3,DRY,39.718502,-105.696065,35,M
2017-03-20,HOUR14,2,DRY,39.711988,-105.302169,24,M
2017-03-20,HOUR17,2,DRY,39.739801,-105.159144,19,M
2017-03-21,HOUR17,1,DRY,39.743477,-105.682043,30,M
2017-03-22,HOUR11,3,DRY,39.740137,-104.715236,46,M
2017-03-24,HOUR0,1,WET,39.745054,-105.538248,23,F
2017-03-24,HOUR1,1,SLUSHY,39.740321,-105.504953,21,F
2017-03-24,HOUR5,1,WET,39.738657,-104.526739,24,M
2017-03-24,HOUR13,2,DRY,39.739991,-105.158904,44,F
2017-03-24,HOUR14,2,DRY,39.70834,-106.692034,48,M
2017-03-24,HOUR19,2,DRY,39.734252,-105.689652,74,F
2017-03-28,HOUR17,1,WET,39.741349,-105.510267,31,F
2017-03-31,HOUR21,1,ICY,39.708281,-105.698871,21,M
2017-04-01,HOUR14,1,DRY,39.741308,-105.513778,19,M
2017-04-02,HOUR13,1,DRY,39.743202,-105.452336,25,M
2017-04-03,HOUR7,3,DRY,39.709013,-105.286143,53,M
2017-04-03,HOUR8,2,DRY,39.738713,-104.529374,67,F
2017-04-03,HOUR11,2,DRY,39.741308,-105.513778,76,F
2017-04-03,HOUR19,2,WET,39.711757,-105.301279,31,M
2017-04-04,HOUR8,2,SLUSHY,39.739229,-105.159864,24,F
2017-04-04,HOUR8,1,ICY,39.746291,-105.460542,71,F
2017-04-04,HOUR8,1,ICY,39.746291,-105.460542,27,M
2017-04-04,HOUR8,1,FOREIGN MATERIAL,39.746357,-105.460919,52,M
2017-04-04,HOUR9,1,SNOWY,39.710649,-105.29701,21,F
2017-04-04,HOUR10,2,ICY,39.712034,-105.302346,70,M
2017-04-04,HOUR19,2,SNOWY W/VIS ICY ROAD TREATMENT,39.722891,-105.695291,24,F
2017-04-04,HOUR22,1,SNOWY W/VIS ICY ROAD TREATMENT,39.718186,-105.400367,34,M
2017-04-05,HOUR5,1,ICY,39.73966,-104.58427,53,M
2017-04-05,HOUR10,1,WET,39.7089,-105.284318,26,F
2017-04-05,HOUR10,1,DRY,39.740477,-104.732566,28,F
2017-04-05,HOUR10,2,WET,39.741046,-105.515331,62,M
2017-04-05,HOUR12,2,DRY,39.729498,-105.172306,25,M
2017-04-05,HOUR12,2,DRY,39.729498,-105.172306,22,M
2017-04-05,HOUR16,2,DRY,39.721552,-105.411134,47,M
2017-04-05,HOUR18,2,DRY,39.724894,-105.179757,23,F
2017-04-07,HOUR13,2,DRY,39.709494,-105.697829,58,M
2017-04-10,HOUR8,2,DRY,39.713081,-105.314528,32,M
2017-04-10,HOUR9,2,DRY,39.740135,-104.715894,70,F
2017-04-11,HOUR9,2,DRY,39.739801,-105.159144,27,M
2017-04-13,HOUR7,1,DRY,39.731193,-104.301802,18,M
2017-04-16,HOUR21,2,DRY,39.731256,-105.426689,44,M
2017-04-17,HOUR8,2,DRY,39.740135,-104.715894,61,F
2017-04-19,HOUR14,2,DRY,39.74013,-104.717868,57,M
2017-04-20,HOUR3,2,DRY,39.738261,-104.502169,24,M
2017-04-20,HOUR14,1,DRY,39.739857,-104.599877,33,F
2017-04-20,HOUR16,2,WET,39.739229,-105.159864,23,F
2017-04-23,HOUR6,1,DRY,39.744354,-105.43495,27,F
2017-04-24,HOUR0,2,DRY,39.749361,-105.548535,62,M
2017-04-26,HOUR3,1,ICY,39.715321,-105.383174,48,F
2017-04-26,HOUR3,1,ICY,39.712697,-105.366282,24,M
2017-04-26,HOUR3,1,ICY,39.712343,-105.364483,36,F
2017-04-26,HOUR3,1,ICY,39.719178,-105.402112,50,M
2017-04-27,HOUR20,2,DRY,39.739801,-105.159144,36,M
2017-04-28,HOUR19,2,DRY,39.711111,-105.298789,0,
2017-04-29,HOUR17,5,ICY,39.745222,-105.47048,33,F
2017-04-30,HOUR11,1,DRY,39.730943,-105.692291,38,M
2017-05-01,HOUR6,1,WET,39.742843,-105.683023,28,F
2017-05-03,HOUR15,2,DRY,39.739801,-105.159144,35,M
2017-05-04,HOUR8,1,DRY,39.740045,-104.684757,0,U
2017-05-06,HOUR10,1,DRY,39.740676,-104.733128,29,M
2017-05-06,HOUR22,1,DRY,39.744474,-105.456571,43,M
2017-05-07,HOUR1,1,DRY,39.744123,-105.153749,38,M
2017-05-07,HOUR7,2,DRY,39.715718,-105.696492,21,M
2017-05-07,HOUR18,1,WET,39.745973,-105.67691,19,F
2017-05-08,HOUR14,2,DRY,39.740112,-104.725105,60,F
2017-05-08,HOUR16,2,WET,39.71234,-105.193936,48,M
2017-05-09,HOUR15,2,WET,39.743543,-105.532325,41,M
2017-05-12,HOUR19,1,DRY,39.738087,-104.422316,45,M
2017-05-12,HOUR21,1,DRY,39.711955,-105.355138,33,M
2017-05-13,HOUR6,1,DRY,39.708932,-105.284645,29,F
2017-05-13,HOUR11,2,DRY,39.708499,-105.196871,17,F
2017-05-13,HOUR19,1,DRY,39.73942,-105.159624,24,M
2017-05-16,HOUR17,2,DRY,39.740128,-104.718526,67,M
2017-05-18,HOUR2,1,WET,39.71234,-105.193936,21,M
2017-05-18,HOUR5,1,SLUSHY,39.746291,-105.460542,22,F
