DATE,PRCP,SNOW,SNWD,SNOW_DAY_SUM
2014-01-01,0.12,1.9,13.0,1.9
2014-01-02,0.01,0.5,12.5,2.4
2014-01-03,0.0,0.0,12.0,2.4
2014-01-04,0.24,4.5,16.0,6.9
2014-01-05,0.06,1.1,15.5,8.0
2014-01-06,0.01,0.4,15.0,8.4
2014-01-08,0.04,1.2,15.0,9.600000000000001
2014-01-09,0.04,1.1,15.5,8.8
2014-01-10,0.1,1.7,16.5,10.0
2014-01-11,0.08,0.9,16.5,10.9
2014-01-12,0.05,0.9,16.4,7.300000000000001
2014-01-13,0.11,1.1,16.5,7.300000000000001
2014-01-14,0.05,1.2,18.0,8.1
2014-01-15,0.01,0.2,,7.1000000000000005
2014-01-16,0.0,0.0,16.0,6.0
2014-01-17,0.0,0.0,16.0,4.300000000000001
2014-01-18,0.0,0.0,15.5,3.4
2014-01-19,0.0,0.0,15.5,2.5
2014-01-20,0.0,0.0,15.0,1.4
2014-01-21,0.0,0.0,14.5,0.2
2014-01-22,0.0,0.0,,0.0
2014-01-23,0.0,0.0,,0.0
2014-01-24,0.0,0.0,,0.0
2014-01-25,0.0,0.0,,0.0
2014-01-26,0.0,0.0,,0.0
2014-01-27,0.01,0.7,15.0,0.7
2014-01-28,0.02,0.4,15.0,1.1
2014-01-29,0.0,0.0,,1.1
2014-01-30,0.2,1.9,18.0,3.0
2014-01-31,0.67,5.6,23.0,8.6
2014-02-01,0.21,2.4,22.5,11.0
2014-02-02,0.0,0.0,,11.0
2014-02-03,0.01,1.3,22.0,11.6
2014-02-04,0.02,0.8,22.0,12.0
2014-02-05,0.03,0.7,22.0,12.7
2014-02-06,0.08,1.5,22.0,12.299999999999999
2014-02-07,0.23,3.6,25.5,10.3
2014-02-08,0.35,6.2,,14.1
2014-02-09,0.69,5.6,36.0,19.7
2014-02-10,0.19,3.9,37.0,22.299999999999997
2014-02-11,0.17,1.3,35.5,22.8
2014-02-13,0.54,3.6,35.0,25.7
2014-02-14,0.13,0.5,34.0,24.7
2014-02-16,0.0,0.0,32.0,21.1
2014-02-17,0.03,0.7,32.0,15.6
2014-02-18,0.0,0.0,32.0,10.0
2014-02-20,0.07,1.1,32.5,7.199999999999999
2014-02-21,0.03,0.8,33.5,6.699999999999999
2014-02-23,0.04,1.2,34.0,4.3
2014-02-24,0.0,0.0,32.0,3.8
2014-02-25,0.0,0.0,31.0,3.8
2014-02-26,0.0,0.0,30.0,3.0999999999999996
2014-02-27,0.0,0.0,29.5,3.0999999999999996
2014-02-28,0.08,2.5,31.0,4.5
2014-03-01,0.15,3.1,30.5,6.800000000000001
2014-03-02,0.06,1.0,29.0,6.6
2014-03-05,0.1,1.9,28.5,8.5
2014-03-06,0.0,0.0,,8.5
2014-03-07,0.09,1.7,29.0,10.2
2014-03-08,0.11,0.8,29.5,11.0
2014-03-09,0.0,0.0,29.0,8.5
2014-03-10,0.0,0.0,28.0,5.4
2014-03-11,0.02,0.5,28.0,4.9
2014-03-13,0.0,0.0,27.5,3.0
2014-03-14,0.0,0.0,27.0,3.0
2014-03-16,0.04,0.5,27.5,1.8
2014-03-17,0.0,0.0,,1.0
2014-03-18,0.01,0.3,26.5,1.3
2014-03-19,0.05,1.2,27.5,2.5
2014-03-21,0.0,0.0,16.5,2.0
2014-03-22,0.02,0.6,23.0,2.6
2014-03-24,0.0,0.0,21.5,2.6
2014-03-25,0.0,0.0,,2.1
2014-03-26,0.0,0.0,,2.1
2014-03-27,0.0,0.0,,1.7999999999999998
2014-03-28,0.11,1.6,14.5,2.2
2014-04-01,0.0,0.0,,2.2
2014-04-03,0.08,1.1,4.5,2.7
2014-04-04,0.0,0.0,,2.7
2014-04-05,0.0,0.0,,2.7
2014-04-07,0.04,1.0,1.0,3.7
2014-04-11,0.0,0.0,,3.7
2014-04-12,0.0,0.0,,2.0999999999999996
2014-04-13,0.48,4.3,,6.3999999999999995
2014-04-14,0.1,1.5,,6.799999999999999
2014-04-15,0.0,0.0,,6.799999999999999
2014-04-16,0.0,0.0,,6.799999999999999
2014-04-17,0.0,0.0,,5.799999999999999
2014-04-18,0.0,0.0,,5.799999999999999
2014-04-19,0.0,0.0,,5.799999999999999
2014-04-23,0.0,0.0,,1.5
2014-04-24,0.0,0.0,,0.0
2014-04-26,0.0,0.0,,0.0
2014-04-27,0.13,1.9,,1.9
2014-04-28,0.01,0.3,,2.1999999999999997
2014-04-29,0.09,1.5,,3.7
2014-04-30,0.08,1.5,,5.2
2014-05-02,0.0,0.0,,5.2
2014-05-04,0.0,0.0,,5.2
2014-05-13,0.0,0.0,,5.2
2014-05-15,0.05,1.4,,4.7
2014-05-19,0.0,0.0,,4.4
2014-05-20,0.0,0.0,,2.9000000000000004
2014-05-23,0.0,0.0,,1.4
2014-05-27,0.0,0.0,,1.4
2014-05-28,0.0,0.0,,1.4
2014-05-29,0.0,0.0,,1.4
2014-05-30,0.0,0.0,,0.0
2014-06-01,0.0,0.0,,0.0
2014-06-03,0.0,0.0,,0.0
2014-06-04,0.0,0.0,,0.0
2014-06-05,0.0,0.0,,0.0
2014-06-08,0.0,0.0,,0.0
2014-06-20,0.0,0.0,,0.0
2014-06-21,0.0,0.0,,0.0
2014-06-24,0.0,0.0,,0.0
2014-06-26,0.0,0.0,,0.0
2014-06-27,0.0,0.0,,0.0
2014-06-29,0.0,0.0,,0.0
2014-06-30,0.0,0.0,,0.0
2014-07-01,0.0,0.0,,0.0
2014-07-03,0.0,0.0,,0.0
2014-07-09,0.0,0.0,,0.0
2014-07-14,0.0,0.0,,0.0
2014-07-18,0.0,0.0,,0.0
2014-07-19,0.0,0.0,,0.0
2014-07-20,0.0,0.0,,0.0
2014-07-21,0.0,0.0,,0.0
2014-07-22,0.0,0.0,,0.0
2014-07-23,0.0,0.0,,0.0
2014-07-24,0.0,0.0,,0.0
2014-07-25,0.0,0.0,,0.0
2014-07-28,0.0,0.0,,0.0
2014-08-03,0.0,0.0,,0.0
2014-08-09,0.0,0.0,,0.0
2014-08-10,0.0,0.0,,0.0
2014-08-13,0.0,0.0,,0.0
2014-08-19,0.0,0.0,,0.0
2014-08-24,0.0,0.0,,0.0
2014-09-02,0.0,0.0,,0.0
2014-09-03,0.0,0.0,,0.0
2014-09-04,0.0,0.0,,0.0
2014-09-14,0.0,0.0,,0.0
2014-09-16,0.0,0.0,,0.0
2014-09-17,0.0,0.0,,0.0
2014-09-25,0.0,0.0,,0.0
2014-09-26,0.0,0.0,,0.0
2014-09-27,0.0,0.0,,0.0
2014-09-28,0.0,0.0,,0.0
2014-10-02,0.23,0.5,0.5,0.5
2014-10-04,0.0,0.0,,0.5
2014-10-05,0.0,0.0,,0.5
2014-10-06,0.0,0.0,,0.5
2014-10-07,0.0,0.0,,0.5
2014-10-08,0.0,0.0,,0.5
2014-10-09,0.0,0.0,,0.5
2014-10-11,0.0,0.0,,0.0
2014-10-15,0.0,0.0,,0.0
2014-10-16,0.0,0.0,,0.0
2014-10-17,0.0,0.0,,0.0
2014-10-18,0.0,0.0,,0.0
2014-10-19,0.0,0.0,,0.0
2014-10-20,0.0,0.0,,0.0
2014-10-21,0.0,0.0,,0.0
2014-10-24,0.0,0.0,,0.0
2014-10-26,0.0,0.0,,0.0
2014-10-27,0.2,0.6,,0.6
2014-10-29,0.0,0.0,,0.6
2014-10-30,0.0,0.0,,0.6
2014-10-31,0.0,0.0,,0.6
2014-11-01,0.0,0.0,,0.6
2014-11-02,0.0,0.0,,0.6
2014-11-03,0.1,1.0,,1.6
2014-11-05,0.0,0.0,,1.0
2014-11-06,0.0,0.0,,1.0
2014-11-07,0.0,0.0,,1.0
2014-11-08,0.0,0.0,,1.0
2014-11-09,0.0,0.0,,1.0
2014-11-10,0.0,0.0,,1.0
2014-11-11,0.07,1.3,,1.3000000000000003
2014-11-12,0.1,6.8,,8.1
2014-11-17,0.0,0.0,,8.100000000000001
2014-11-18,0.0,0.0,,8.100000000000001
2014-11-19,0.0,0.0,,8.100000000000001
2014-11-20,0.0,0.0,,8.100000000000001
2014-11-21,0.0,0.0,,8.100000000000001
2014-11-22,0.0,0.0,,6.800000000000001
2014-11-23,0.15,4.4,,4.400000000000001
2014-11-24,0.03,0.5,,4.900000000000001
2014-11-25,0.03,0.5,,5.400000000000001
