DATE,Direction,HOUR,TRAFFIC
2014-01-01,P,0,102
2014-01-01,S,0,131
2014-01-01,P,1,91
2014-01-01,S,1,162
2014-01-01,P,2,86
2014-01-01,S,2,153
2014-01-01,P,3,50
2014-01-01,S,3,104
2014-01-01,P,4,65
2014-01-01,S,4,108
2014-01-01,P,5,171
2014-01-01,S,5,225
2014-01-01,P,6,247
2014-01-01,S,6,999
2014-01-01,P,7,448
2014-01-01,S,7,2746
2014-01-01,P,8,662
2014-01-01,S,8,2405
2014-01-01,P,9,1077
2014-01-01,S,9,2511
2014-01-01,P,10,1444
2014-01-01,S,10,1996
2014-01-01,P,11,2040
2014-01-01,S,11,1921
2014-01-01,P,12,2273
2014-01-01,S,12,1729
2014-01-01,P,13,2563
2014-01-01,S,13,1704
2014-01-01,P,14,2606
2014-01-01,S,14,1617
2014-01-01,P,15,2589
2014-01-01,S,15,1455
2014-01-01,P,16,2446
2014-01-01,S,16,1281
2014-01-01,P,17,2320
2014-01-01,S,17,820
2014-01-01,P,18,2045
2014-01-01,S,18,608
2014-01-01,P,19,1946
2014-01-01,S,19,542
2014-01-01,P,20,1654
2014-01-01,S,20,426
2014-01-01,P,21,1907
2014-01-01,S,21,327
2014-01-01,P,22,1753
2014-01-01,S,22,245
2014-01-01,P,23,312
2014-01-01,S,23,191
2014-01-02,P,0,133
2014-01-02,S,0,143
2014-01-02,P,1,89
2014-01-02,S,1,89
2014-01-02,P,2,94
2014-01-02,S,2,100
2014-01-02,P,3,82
2014-01-02,S,3,92
2014-01-02,P,4,164
2014-01-02,S,4,180
2014-01-02,P,5,352
2014-01-02,S,5,347
2014-01-02,P,6,794
2014-01-02,S,6,931
2014-01-02,P,7,874
2014-01-02,S,7,2599
2014-01-02,P,8,1784
2014-01-02,S,8,3213
2014-01-02,P,9,1551
2014-01-02,S,9,3081
2014-01-02,P,10,1885
2014-01-02,S,10,2460
2014-01-02,P,11,2047
2014-01-02,S,11,2102
2014-01-02,P,12,2189
2014-01-02,S,12,1732
2014-01-02,P,13,2255
2014-01-02,S,13,1630
2014-01-02,P,14,2833
2014-01-02,S,14,1584
2014-01-02,P,15,3169
2014-01-02,S,15,1593
2014-01-02,P,16,3033
2014-01-02,S,16,1438
2014-01-02,P,17,3074
2014-01-02,S,17,1169
2014-01-02,P,18,2972
2014-01-02,S,18,977
2014-01-02,P,19,1268
2014-01-02,S,19,786
2014-01-02,P,20,820
2014-01-02,S,20,587
2014-01-02,P,21,540
2014-01-02,S,21,468
2014-01-02,P,22,331
2014-01-02,S,22,363
2014-01-02,P,23,225
2014-01-02,S,23,258
2014-01-03,P,0,122
2014-01-03,S,0,163
2014-01-03,P,1,80
2014-01-03,S,1,108
2014-01-03,P,2,68
2014-01-03,S,2,108
2014-01-03,P,3,102
2014-01-03,S,3,113
2014-01-03,P,4,142
2014-01-03,S,4,203
2014-01-03,P,5,264
2014-01-03,S,5,330
2014-01-03,P,6,555
2014-01-03,S,6,947
2014-01-03,P,7,875
2014-01-03,S,7,2898
2014-01-03,P,8,1106
2014-01-03,S,8,3213
2014-01-03,P,9,1537
2014-01-03,S,9,3096
2014-01-03,P,10,1958
2014-01-03,S,10,2787
2014-01-03,P,11,2176
2014-01-03,S,11,2113
2014-01-03,P,12,2254
2014-01-03,S,12,1761
2014-01-03,P,13,2524
2014-01-03,S,13,1856
2014-01-03,P,14,2946
2014-01-03,S,14,2054
2014-01-03,P,15,3165
2014-01-03,S,15,2155
2014-01-03,P,16,3285
2014-01-03,S,16,2339
2014-01-03,P,17,3152
2014-01-03,S,17,2278
2014-01-03,P,18,2975
2014-01-03,S,18,2096
2014-01-03,P,19,2493
2014-01-03,S,19,2061
2014-01-03,P,20,1127
2014-01-03,S,20,1384
2014-01-03,P,21,679
2014-01-03,S,21,910
2014-01-03,P,22,427
2014-01-03,S,22,563
2014-01-03,P,23,251
2014-01-03,S,23,330
2014-01-04,P,0,171
2014-01-04,S,0,223
2014-01-04,P,1,101
2014-01-04,S,1,134
2014-01-04,P,2,72
2014-01-04,S,2,99
2014-01-04,P,3,86
2014-01-04,S,3,108
2014-01-04,P,4,102
2014-01-04,S,4,126
2014-01-04,P,5,135
2014-01-04,S,5,297
2014-01-04,P,6,347
2014-01-04,S,6,1246
2014-01-04,P,7,488
2014-01-04,S,7,2023
2014-01-04,P,8,705
2014-01-04,S,8,2383
2014-01-04,P,9,1144
2014-01-04,S,9,2320
2014-01-04,P,10,1463
2014-01-04,S,10,2362
2014-01-04,P,11,2024
2014-01-04,S,11,1314
2014-01-04,P,12,2110
2014-01-04,S,12,1156
2014-01-04,P,13,1992
2014-01-04,S,13,1076
2014-01-04,P,14,2017
2014-01-04,S,14,959
2014-01-04,P,15,2556
2014-01-04,S,15,1298
2014-01-04,P,16,2364
2014-01-04,S,16,990
2014-01-04,P,17,1954
2014-01-04,S,17,855
2014-01-04,P,18,1973
2014-01-04,S,18,558
2014-01-04,P,19,1304
2014-01-04,S,19,634
2014-01-04,P,20,859
2014-01-04,S,20,418
2014-01-04,P,21,533
2014-01-04,S,21,297
2014-01-04,P,22,278
2014-01-04,S,22,240
2014-01-04,P,23,186
2014-01-04,S,23,165
2014-01-05,P,0,102
2014-01-05,S,0,125
2014-01-05,P,1,75
2014-01-05,S,1,100
2014-01-05,P,2,63
2014-01-05,S,2,68
2014-01-05,P,3,68
2014-01-05,S,3,41
2014-01-05,P,4,96
2014-01-05,S,4,84
2014-01-05,P,5,170
2014-01-05,S,5,196
2014-01-05,P,6,310
2014-01-05,S,6,1297
2014-01-05,P,7,554
2014-01-05,S,7,2632
2014-01-05,P,8,921
2014-01-05,S,8,1839
2014-01-05,P,9,1547
2014-01-05,S,9,1362
2014-01-05,P,10,2377
2014-01-05,S,10,1220
2014-01-05,P,11,2745
2014-01-05,S,11,1291
2014-01-05,P,12,2802
2014-01-05,S,12,1180
2014-01-05,P,13,2961
2014-01-05,S,13,1165
2014-01-05,P,14,2805
2014-01-05,S,14,1236
2014-01-05,P,15,2695
2014-01-05,S,15,1084
2014-01-05,P,16,2317
2014-01-05,S,16,941
2014-01-05,P,17,1868
2014-01-05,S,17,778
2014-01-05,P,18,1722
2014-01-05,S,18,594
2014-01-05,P,19,1815
2014-01-05,S,19,464
2014-01-05,P,20,1810
2014-01-05,S,20,351
2014-01-05,P,21,1064
2014-01-05,S,21,242
2014-01-05,P,22,377
2014-01-05,S,22,228
2014-01-05,P,23,174
2014-01-05,S,23,149
2014-01-06,P,0,102
2014-01-06,S,0,112
2014-01-06,P,1,77
2014-01-06,S,1,82
2014-01-06,P,2,61
2014-01-06,S,2,91
2014-01-06,P,3,73
2014-01-06,S,3,83
2014-01-06,P,4,107
2014-01-06,S,4,154
2014-01-06,P,5,301
2014-01-06,S,5,285
2014-01-06,P,6,688
2014-01-06,S,6,526
2014-01-06,P,7,1063
2014-01-06,S,7,1289
2014-01-06,P,8,1150
2014-01-06,S,8,1959
2014-01-06,P,9,1126
2014-01-06,S,9,1899
2014-01-06,P,10,1491
2014-01-06,S,10,1565
